Date;Flower;Color;Units Selection
01/10/2024 0:00;Minicarnation;Red;0
01/10/2024 0:00;Minicarnation;White;600
01/10/2024 0:00;Minicarnation;Yellow;0
01/10/2024 0:00;Minikalas;Burgundy;80
01/10/2024 0:00;Minikalas;DarkPink;20
01/10/2024 0:00;Minikalas;Orange;60
01/10/2024 0:00;Minikalas;Pink;80
01/10/2024 0:00;Minikalas;Yellow;80
01/10/2024 0:00;Mum Ball;Bronze;1700
01/10/2024 0:00;Mum Ball;Dark Bronze;1000
01/10/2024 0:00;Mum Ball;Lavender;500
01/10/2024 0:00;Mum Ball;Orange;1500
01/10/2024 0:00;Mum Ball;Purple;2300
01/10/2024 0:00;Mum Ball;Red;450
01/10/2024 0:00;Mum Ball;White;2000
01/10/2024 0:00;Mum Ball;Yellow;1000
01/10/2024 0:00;Novelty;Bronze;8500
01/10/2024 0:00;Novelty;Button Green;11751
01/10/2024 0:00;Novelty;Button Lavender;160
01/10/2024 0:00;Novelty;Button Purple;2820
01/10/2024 0:00;Novelty;Button Red;30
01/10/2024 0:00;Novelty;Button White;2788
01/10/2024 0:00;Novelty;Button Yellow;1200
01/10/2024 0:00;Novelty;Lavender;200
01/10/2024 0:00;Novelty;Light Bronze;2450
01/10/2024 0:00;Novelty;Pink;1250
01/10/2024 0:00;Novelty;Red;1850
01/10/2024 0:00;Novelty;White;590
01/10/2024 0:00;Novelty;Yellow;4080
01/10/2024 0:00;Pin Cushion Protea;Orange;0
01/10/2024 0:00;Protea;Red;400
01/10/2024 0:00;Robelina Palm;Green;1500
01/10/2024 0:00;Rose - Color;DarkPink;8208
01/10/2024 0:00;Rose - Color;Green;0
01/10/2024 0:00;Rose - Color;Lavender;4752
01/10/2024 0:00;Rose - Color;Novelty Orange;0
01/10/2024 0:00;Rose - Color;Novelty Pink;1440
01/10/2024 0:00;Rose - Color;Novelty Red;0
01/10/2024 0:00;Rose - Color;Orange;6768
01/10/2024 0:00;Rose - Color;Peach;864
01/10/2024 0:00;Rose - Color;Pink;4320
01/10/2024 0:00;Rose - Color;White;10512
01/10/2024 0:00;Rose - Color;Yellow;7056
01/10/2024 0:00;Rose - Red;Red;31392
01/10/2024 0:00;Rose - Spray;DarkPink;600
01/10/2024 0:00;Rose - Spray;Green;0
01/10/2024 0:00;Rose - Spray;Lavender;0
01/10/2024 0:00;Rose - Spray;Novelty Orange;0
01/10/2024 0:00;Rose - Spray;Novelty Pink;0
01/10/2024 0:00;Rose - Spray;Orange;900
01/10/2024 0:00;Rose - Spray;Peach;100
01/10/2024 0:00;Rose - Spray;Pink;900
01/10/2024 0:00;Rose - Spray;Red;2700
01/10/2024 0:00;Rose - Spray;White;0
01/10/2024 0:00;Rose - Spray;Yellow;1050
01/10/2024 0:00;Ruscus;Green;3070
01/10/2024 0:00;Ruscus;Tinted Blue Pastel;160
01/10/2024 0:00;Ruscus;Tinted Burgundy;3620
01/10/2024 0:00;Ruscus;Tinted Dusty;760
01/10/2024 0:00;Scabiosa;Purple;0
01/10/2024 0:00;Sinensis;Tinted Orange;20
01/10/2024 0:00;Sinensis;Tinted Purple;80
01/10/2024 0:00;Sinensis;White;9000
01/10/2024 0:00;Snapdragon;DarkPink;300
01/10/2024 0:00;Snapdragon;Orange;300
01/10/2024 0:00;Snapdragon;Purple;0
01/10/2024 0:00;Snapdragon;White;900
01/10/2024 0:00;Snapdragon;Yellow;0
01/10/2024 0:00;Solidago;Tinted Blue;100
01/10/2024 0:00;Solidago;Tinted Burgundy;2810
01/10/2024 0:00;Solidago;Tinted Dark Pink;120
01/10/2024 0:00;Solidago;Tinted Orange;100
01/10/2024 0:00;Solidago;Tinted Pink;100
01/10/2024 0:00;Solidago;Tinted Purple;100
01/10/2024 0:00;Solidago;Tinted Red;100
01/10/2024 0:00;Solidago;Yellow;3060
01/10/2024 0:00;Sparkz;Burgundy;0
01/10/2024 0:00;Sparkz;DarkPink;1800
01/10/2024 0:00;Sparkz;Earth Tones;0
01/10/2024 0:00;Sparkz;Mauve;0
01/10/2024 0:00;Sparkz;Novelty Burgundy;1200
01/10/2024 0:00;Sparkz;Novelty Lavender;1800
01/10/2024 0:00;Sparkz;Novelty Orange;3000
01/10/2024 0:00;Sparkz;Novelty Purple;1800
01/10/2024 0:00;Sparkz;Novelty Yellow;0
01/10/2024 0:00;Sparkz;Purple;0
01/10/2024 0:00;Spider;Assorted;7200
01/10/2024 0:00;Statice;Purple;2450
01/10/2024 0:00;Stock Spray;DarkPink;3750
01/10/2024 0:00;Stock Spray;Lavender;3250
01/10/2024 0:00;Stock Spray;Pink;750
01/10/2024 0:00;Stock Spray;Purple;6250
01/10/2024 0:00;Stock Spray;White;3500
01/10/2024 0:00;Stock Spray;Yellow;3500
01/10/2024 0:00;Sunflowers;DarkPink;40
01/10/2024 0:00;Sunflowers;Yellow;6480
01/10/2024 0:00;Super Mums;Pink;100
01/10/2024 0:00;Super Mums;White;3850
01/10/2024 0:00;Super Mums;Yellow;400
01/10/2024 0:00;Sweet William;DarkPink;0
01/10/2024 0:00;Sweet William;Purple;1000
01/10/2024 0:00;Veronica;Pink;0
01/10/2024 0:00;Veronica;Purple;0
01/10/2024 0:00;Veronica;White;0
01/10/2024 0:00;Veronica Spray;Pink;10
01/10/2024 0:00;Veronica Spray;Purple;10
02/10/2024 0:00;Alstroemeria;Burgundy;0
02/10/2024 0:00;Alstroemeria;DarkPink;12000
02/10/2024 0:00;Alstroemeria;Green;0
02/10/2024 0:00;Alstroemeria;Lavender;2800
02/10/2024 0:00;Alstroemeria;Orange;3200
02/10/2024 0:00;Alstroemeria;Peach;0
02/10/2024 0:00;Alstroemeria;Pink;16000
02/10/2024 0:00;Alstroemeria;Purple;3200
02/10/2024 0:00;Alstroemeria;Red;3200
02/10/2024 0:00;Alstroemeria;White;2000
02/10/2024 0:00;Alstroemeria;Yellow;2400
02/10/2024 0:00;Aster;Purple;1200
02/10/2024 0:00;Carnation;Pink;3000
02/10/2024 0:00;Carnation;Red;1500
02/10/2024 0:00;Cocculus;Green;2100
02/10/2024 0:00;Cremon;Bronze;4420
02/10/2024 0:00;Cremon;Dark Bronze;450
02/10/2024 0:00;Cremon;Green;920
02/10/2024 0:00;Cremon;Lavender;1090
02/10/2024 0:00;Cremon;Light Bronze;320
02/10/2024 0:00;Cremon;Novelty Lavender;80
02/10/2024 0:00;Cremon;Peach;400
02/10/2024 0:00;Cremon;Pink;210
02/10/2024 0:00;Cremon;Purple;3020
02/10/2024 0:00;Cremon;Red;1420
02/10/2024 0:00;Cremon;White;2290
02/10/2024 0:00;Cremon;Yellow;150
02/10/2024 0:00;Cushion;Assorted;14530
02/10/2024 0:00;Cushion;Bronze;2212
02/10/2024 0:00;Cushion;Cream;3710
02/10/2024 0:00;Cushion;Dark Bronze;4240
02/10/2024 0:00;Cushion;Earth Tones;1240
02/10/2024 0:00;Cushion;Green;850
02/10/2024 0:00;Cushion;Lavender;9992
02/10/2024 0:00;Cushion;Light Bronze;100
02/10/2024 0:00;Cushion;Peach;1720
02/10/2024 0:00;Cushion;Pink;120
02/10/2024 0:00;Cushion;Purple;5335
02/10/2024 0:00;Cushion;Red;1520
02/10/2024 0:00;Cushion;Tinted Assorted;4000
02/10/2024 0:00;Cushion;White;20882
02/10/2024 0:00;Cushion;Yellow;13190
02/10/2024 0:00;Daisy;Assorted;1100
02/10/2024 0:00;Daisy;Bicolor Bronze;13340
02/10/2024 0:00;Daisy;Bronze;14780
02/10/2024 0:00;Daisy;DarkPink;1080
02/10/2024 0:00;Daisy;Lavender;1355
02/10/2024 0:00;Daisy;Light Bronze;670
02/10/2024 0:00;Daisy;Novelty Lavender;9420
02/10/2024 0:00;Daisy;Novelty Purple;11580
02/10/2024 0:00;Daisy;Novelty Yellow;7850
02/10/2024 0:00;Daisy;Orange;1180
02/10/2024 0:00;Daisy;Peach;1000
02/10/2024 0:00;Daisy;Pink;1400
02/10/2024 0:00;Daisy;Purple;12409
02/10/2024 0:00;Daisy;Red;7700
02/10/2024 0:00;Daisy;Tinted Assorted;15000
02/10/2024 0:00;Daisy;White;26630
02/10/2024 0:00;Daisy;Yellow;16400
02/10/2024 0:00;Dianthus Ball;Burgundy;3900
02/10/2024 0:00;Dianthus Ball;DarkPink;2100
02/10/2024 0:00;Dianthus Ball;Novelty Purple;0
02/10/2024 0:00;Dianthus Ball;Pink;300
02/10/2024 0:00;Dianthus Ball;White;0
02/10/2024 0:00;Eucalyptus Baby Blue;Green;13400
02/10/2024 0:00;Gala Mum;Lavender;3200
02/10/2024 0:00;Gala Mum;Pink;350
02/10/2024 0:00;Gala Mum;Purple;150
02/10/2024 0:00;Gala Mum;White;1340
02/10/2024 0:00;Gala Mum;Yellow;750
02/10/2024 0:00;Green Ball;Green;7500
02/10/2024 0:00;Green Dragon (Lepidium);Green;2400
